slug,acao,subtopico_sugerido,confianca,cluster_tematico,racional
fcc-enfermagem-exames-laboratoriais-1779563559434-5,MOVER,"Coleta de Exames Laboratoriais",0.91,"Tuberculose — controle, TDO e vigilância","Coleta/acondicionamento escarro MS"
fenix-instituto-enfermagem-processo-de-enfermagem-1780006480333-7,MOVER,"Urgências e Emergências",0.92,"Meningite bacteriana","Meningite em serviço de urgência"
fgv-enfermagem-curativos-e-manejo-de-feridas-1779344759089-2,MOVER,"Curativos e Manejo de Feridas",0.92,"Outros / tema misto","Ferimento cortante — cuidados ferida"
fgv-enfermagem-promocao-a-saude-e-prevencao-de-agravos-1779563923516-5,MOVER,"Epidemiologia e Vigilância Epidemiológica",0.91,"Outros / tema misto","Busca ativa sintomáticos respiratórios (vigilância TB)"
fundatec-enfermagem-coleta-de-exames-laboratoriais-1779562735777-6,MOVER,"Coleta de Exames Laboratoriais",0.9,"Tuberculose — controle, TDO e vigilância","Orientação coleta escarro TB"
fundatec-enfermagem-coleta-de-exames-laboratoriais-1779563140631-4,MOVER,"Coleta de Exames Laboratoriais",0.92,"Exames laboratoriais (reclassificar?)","BAAR — técnica de coleta escarro"
fundatec-enfermagem-cuidados-na-administracao-de-medicamentos-1778969701754-1,MOVER,"Infecções Sexualmente Transmissíveis (ISTs)",0.94,"IST (reclassificar?)","Sífilis — tratamento/conduta"
iaupe-enfermagem-semiologia-em-enfermagem-1779563512485-5,MOVER,"Questões Mescladas e Outras Doenças Agudas",0.88,"Candidíase e micoses","Pneumonia aguda — não bacterianas bucket"
ibfc-enfermagem-exames-laboratoriais-1779563621885-8,MOVER,"Coleta de Exames Laboratoriais",0.9,"Tuberculose — controle, TDO e vigilância","Coleta escarro — afirmativas"
idcap-geral-doencas-parasitarias-e-zoonoses-1777103478442-5,MOVER,"Doenças Parasitárias e Zoonoses",0.94,"Zoonoses (reclassificar?)","Febre maculosa"
idecan-enfermagem-infeccoes-sexualmente-transmissiveis-ists-1778712294130-1,MOVER,"Infecções Sexualmente Transmissíveis (ISTs)",0.9,"Tuberculose — controle, TDO e vigilância","Infecções trato reprodutivo"
idecan-enfermagem-questoes-mescladas-e-outras-doencas-agudas-1780066992037-8,MOVER,"Questões Mescladas e Outras Doenças Agudas",0.88,"Candidíase e micoses","Pneumonia aguda"
instituto-verbena-geral-doencas-parasitarias-e-zoonoses-1777103452899-3,MOVER,"Doenças Parasitárias e Zoonoses",0.94,"Zoonoses (reclassificar?)","Febre maculosa"
