source,slug,subtopico,lote,issue_codes
"supabase","adm-tec-enfermagem-atencao-basica-saude-da-familia-1778968156152-2","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","adm-tec-enfermagem-atencao-basica-saude-da-familia-1778968156152-3","Infecções Sexualmente Transmissíveis (ISTs)","","molde_golden_rule_sem_rows"
"supabase","adm-tec-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1776056624615-7","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","adm-tec-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1776056641612-0","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","adm-tec-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344651728-3","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","adm-tec-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344651728-4","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","adm-tec-enfermagem-processo-de-enfermagem-1776056021381-3","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","adm-tec-enfermagem-processo-de-enfermagem-1776056021381-4","Outras Questões e Questões Mescladas sobre Doenças Crônicas Não Transmissíveis","","stub_markers"
"supabase","adm-tec-enfermagem-processo-de-enfermagem-1776056129848-4","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","adm-tec-enfermagem-processo-de-enfermagem-1776056129848-5","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","adm-tec-enfermagem-urgencias-e-emergencias-1777103970505-4","Urgências e Emergências","","stub_markers"
"supabase","adm-tec-enfermagem-urgencias-e-emergencias-1777103970505-5","Urgências e Emergências","","stub_markers"
"supabase","adm-tec-enfermagem-urgencias-e-emergencias-1777103970505-6","Urgências e Emergências","","stub_markers"
"supabase","adm-tec-enfermagem-urgencias-e-emergencias-1777103970505-7","Urgências e Emergências","","stub_markers"
"supabase","adm-tec-enfermagem-urgencias-e-emergencias-1777103970505-8","Urgências e Emergências","","stub_markers"
"supabase","agirh-enfermagem-nocoes-de-anatomia-1775448514037-0","Verificação de Sinais Vitais","","molde_golden_rule_sem_rows"
"supabase","agirh-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344707320-2","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","agirh-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344707320-4","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","amauc-enfermagem-calculo-de-administracao-de-medicamentos-e-infusoes-1776056265348-8","Cálculo de Administração de Medicamentos e Infusões","","molde_concept_map_sem_items;molde_golden_rule_sem_rows"
"supabase","amauc-enfermagem-calculo-de-administracao-de-medicamentos-e-infusoes-1776056274291-3","Cálculo de Administração de Medicamentos e Infusões","","molde_concept_map_sem_items;molde_golden_rule_sem_rows"
"supabase","amauc-enfermagem-calculo-de-administracao-de-medicamentos-e-infusoes-1776056274291-4","Cálculo de Administração de Medicamentos e Infusões","","molde_concept_map_sem_items;molde_golden_rule_sem_rows"
"supabase","amauc-enfermagem-calculo-de-administracao-de-medicamentos-e-infusoes-1776056274291-5","Cálculo de Administração de Medicamentos e Infusões","","molde_concept_map_sem_items;molde_golden_rule_sem_rows"
"supabase","amauc-enfermagem-imunizacao-1779564109452-2","Imunização","","molde_golden_rule_sem_rows"
"supabase","amauc-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344701804-8","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","amauc-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344718151-8","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001440222-4","Enfermagem em Central de Material e Esterilização (CME)","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001440222-5","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001440222-7","Saúde da Criança","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001440222-9","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001517858-1","Urgências e Emergências","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001517858-3","Verificação de Sinais Vitais","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001517858-4","Urgências e Emergências","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001517858-5","Enfermagem em Centro Cirúrgico","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001517858-6","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001517858-7","Urgências e Emergências","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001517858-8","Enfermagem em Centro Cirúrgico","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780001613305-0","Processamento de Artigos e Produtos de Saúde","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002441285-4","Verificação de Sinais Vitais","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002441285-5","Urgências e Emergências","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002441285-6","Saúde da Mulher","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002441285-7","Outras Questões e Questões Mescladas sobre Doenças Crônicas Não Transmissíveis","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002441285-8","Infecções Sexualmente Transmissíveis (ISTs)","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002441285-9","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002549800-0","Verificação de Sinais Vitais","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002549800-1","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002549800-2","Assistência Perioperatória (Inclui SRPA)","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002549800-3","Urgências e Emergências","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780004982901-5","Outras Questões e Questões Mescladas sobre Doenças Crônicas Não Transmissíveis","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780004982901-6","Saúde da Mulher","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780004982901-7","Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780004982901-8","Saúde da Criança","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780004982901-9","Saúde da Mulher","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-0","Doenças Virais de Interesse Epidemiológico (Covid, Influenza, Sarampo, Polio etc.)","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-1","Saúde da Mulher","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-2","Atenção Básica / Saúde da Família","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-3","Promoção à Saúde e Prevenção de Agravos","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-4","Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)","","stub_markers"
